1 f16c11_7.asc 3 Waypoints and terminal glide slope to IP ' F16 Aircraft ' Nov 30 2022 21:43:09
  0  0 63
time            vmach           pdynmc          dvba            psiblx          
thtblx          phiblx          alppx           phipx           alphax          
betax           erq             etbl            ppx             qqx             
rrx             VBEB1           VBEB2           VBEB3           SBEL1           
SBEL2           SBEL3           VBEL1           VBEL2           VBEL3           
dvbe            hbe             psivlx          thtvlx          alx             
anx             ayx             throttle        thrust          idle            
mil             max             stmarg          dma             dmde            
gmax            gminx           realp1          realp2          wnp             
zetp            realy1          realy2          wny             zety            
nl_gain         dwbh            wp_flag         delacx          delecx          
delrcx          alcomx          ancomx          altcom          zetlagr         
delax           delex           delrx           
187.012         998.208         22.4465         1.12923         0.0748446       
0.525015        -0.193157       0.77            51956.7         -3135.69        
51953.2         98378.9         -0.025183       2.32991         -13.6774        
6.49111         -2.01785        0.359215        -2.69399        0               
0               0               0               3.45936         0.00277238      
0.399976        4763.75         1               1.04355         -1.90922        
0               0.559209        0.887039        1000            0.7             
1.16973         -1.87661        0               
3.6             0.556997        19522.1         187.396         21.3599         
1.82708         28.9631         1.38957         82.286          0.186572        
1.37711         -5.10492e-08    1.41421         -0.39477        -0.652736       
5.86408         187.345         4.50697         0.61329         637.317         
134.376         -998.555        173.14          71.6286         -3.25547        
187.4           998.555         22.475          0.995378        0.131398        
0.547036        -0.143603       0.77            51960.2         -3160.44        
51956.7         98420           -0.0254879      2.36867         -13.7341        
6.51787         -2.02617        0.369281        -2.7092         0               
0               0               0               3.46622         0.00276851      
0.399975        4745.03         1               0.525214        -1.97292        
0               0.555633        0.913609        1000            0.7             
